customer_id,bought_date,product,retail_price,discount
1,01/12/2016,Saturn,50000,1900
4,01/12/2016,Saturn,50000,4500
5,01/12/2016,Jupiter,80000,1300
6,01/12/2016,Pluto,40000,3800
8,01/12/2016,Pluto,40000,200
10,01/12/2016,Jupiter,80000,5800
12,01/12/2016,Pluto,40000,600
15,01/12/2016,Saturn,50000,3500
17,01/12/2016,Saturn,50000,2200
19,01/12/2016,Pluto,40000,1400
21,01/12/2016,Pluto,40000,2600
24,01/12/2016,Saturn,50000,4000
26,01/12/2016,Saturn,50000,3000
27,01/12/2016,Jupiter,80000,3900
29,01/12/2016,Pluto,40000,2700
30,01/12/2016,Pluto,40000,1000
31,01/12/2016,Jupiter,80000,6400
33,01/12/2016,Saturn,50000,2500
36,03/12/2016,Jupiter,80000,2700
39,03/12/2016,Jupiter,80000,1800
45,03/12/2016,Jupiter,80000,3700
48,03/12/2016,Pluto,40000,4000
49,03/12/2016,Saturn,50000,1800
53,03/12/2016,Jupiter,80000,1300
54,03/12/2016,Jupiter,80000,500
55,03/12/2016,Saturn,50000,4200
58,03/12/2016,Saturn,50000,500
60,03/12/2016,Jupiter,80000,1700
61,03/12/2016,Jupiter,80000,6000
62,03/12/2016,Saturn,50000,1200
64,03/12/2016,Jupiter,80000,8000
66,03/12/2016,Pluto,40000,2200
71,03/12/2016,Pluto,40000,100
76,03/12/2016,Jupiter,80000,3000
82,03/12/2016,Saturn,50000,2900
85,03/12/2016,Saturn,50000,2200
94,03/12/2016,Saturn,50000,1800
97,03/12/2016,Jupiter,80000,3300
98,03/12/2016,Pluto,40000,2500
100,03/12/2016,Saturn,50000,2000
103,03/12/2016,Jupiter,80000,7600
104,03/12/2016,Jupiter,80000,800
105,03/12/2016,Jupiter,80000,1600
108,03/12/2016,Jupiter,80000,6100
111,03/12/2016,Saturn,50000,2200
116,03/12/2016,Jupiter,80000,4800
120,03/12/2016,Saturn,50000,1300
121,03/12/2016,Jupiter,80000,1100
123,03/12/2016,Pluto,40000,3200
125,03/12/2016,Saturn,50000,5000
128,03/12/2016,Jupiter,80000,5900
132,03/12/2016,Saturn,50000,4700
142,03/12/2016,Pluto,40000,2500
148,03/12/2016,Saturn,50000,600
149,03/12/2016,Jupiter,80000,6700
159,03/12/2016,Pluto,40000,2700
162,03/12/2016,Pluto,40000,500
165,03/12/2016,Jupiter,80000,2900
167,03/12/2016,Jupiter,80000,5000
168,03/12/2016,Jupiter,80000,4600
169,03/12/2016,Pluto,40000,900
174,03/12/2016,Pluto,40000,4000
177,03/12/2016,Jupiter,80000,5100
179,03/12/2016,Saturn,50000,1600
183,03/12/2016,Jupiter,80000,4600
185,03/12/2016,Jupiter,80000,5100
186,03/12/2016,Pluto,40000,900
190,03/12/2016,Jupiter,80000,6200
196,03/12/2016,Pluto,40000,2300
201,03/12/2016,Jupiter,80000,2900
202,03/12/2016,Saturn,50000,700
206,03/12/2016,Pluto,40000,2900
208,03/12/2016,Jupiter,80000,600
209,03/12/2016,Pluto,40000,3100
210,03/12/2016,Pluto,40000,2700
213,03/12/2016,Pluto,40000,2800
217,03/12/2016,Jupiter,80000,7000
218,03/12/2016,Jupiter,80000,4900
219,03/12/2016,Saturn,50000,3100
222,03/12/2016,Pluto,40000,300
228,03/12/2016,Jupiter,80000,4300
230,03/12/2016,Jupiter,80000,4900
232,03/12/2016,Jupiter,80000,7200
234,04/12/2016,Jupiter,80000,7400
235,04/12/2016,Saturn,50000,800
236,04/12/2016,Pluto,40000,700
238,04/12/2016,Jupiter,80000,2400
240,04/12/2016,Pluto,40000,700
241,04/12/2016,Jupiter,80000,3300
247,04/12/2016,Pluto,40000,0
249,04/12/2016,Pluto,40000,2300
252,04/12/2016,Pluto,40000,700
253,04/12/2016,Jupiter,80000,3700
255,04/12/2016,Jupiter,80000,7200
256,04/12/2016,Pluto,40000,700
257,04/12/2016,Pluto,40000,300
258,04/12/2016,Saturn,50000,4100
259,04/12/2016,Pluto,40000,400
261,04/12/2016,Jupiter,80000,2700
262,04/12/2016,Saturn,50000,1700
263,04/12/2016,Saturn,50000,1000
265,04/12/2016,Jupiter,80000,6400
